customer_id,email,signup_date,first_purchase_date,last_purchase_date,total_spent,country,segment
C001,jane.doe@example.com,2026-01-05,2026-01-12,2026-02-28,342.50,UK,retail
C002,mark.t@corp.io,05/01/2026,2026-01-20,,89.00,DE,enterprise
C001,jane.doe@example.com,2026-01-05,2026-01-12,2026-02-28,342.50,UK,retail
C003,priya.k@shop.com,2026-01-08,2026-01-08,2026-03-01,1204.00,IN,retail
C004,anon_4@,Jan 9 2026,,,0.00,,
C005,sam.wilson@biz.net,2026-01-11,2026-01-15,2026-01-15,55.00,US,smb
C006,lea.dupont@agency.fr,2026-01-14,,2026-02-10,430.00,FR,retail
C007,tom.b@startup.ie,2026-01-15,2026-01-16,2026-03-05,2100.00,IE,enterprise
C002,mark.t@corp.io,05/01/2026,2026-01-20,,89.00,DE,enterprise
C008,helen.fox@growthco.com,2026-01-18,2026-01-25,2026-02-28,678.00,UK,smb
C009,,2026-01-20,2026-01-21,2026-02-15,290.00,US,retail
C010,david.ng@labs.ai,2026-01-22,2026-01-30,2026-01-30,44.00,SG,smb
C011,sofia.m@design.co,2026-01-25,,,0.00,IT,
C012,alex.r@techfirm.com,2026/01/28,2026-02-01,2026-03-10,855.00,US,enterprise
